id                          ,description                 ,filterable,salesforce_name
submission_id              ,ID                          ,FALSE     ,Assay: Assay ID
performance_detail_submission_id              ,ID                          ,FALSE     ,Performance Detail Submission ID
disease_target,Disease target,TRUE      ,Assay: Disease Target
primary_use_case,Primary use case,TRUE      ,Assay: Primary Use Case
manufacturer                ,Manufacturer                ,TRUE      ,Assay: Company/Institution Name: Organisation Name
submission_title            ,Assay name                  ,FALSE     ,Assay: Assay Name
region                      ,Region of company headquarters                      ,TRUE      ,Assay: Company/Institution Name: WHO Region
country                     ,Country                     ,TRUE      ,Assay: Company/Institution Name: Country
type_of_technology          ,Type of technology          ,TRUE      ,Assay: Type of Technology
self_testing_self_collection,Self-testing/self-collection,TRUE      ,Assay: Self-testing/Self-Collection
assay_target                ,Assay target                ,TRUE      ,Assay: Assay Target
test_format                 ,Test format                 ,TRUE      ,Assay: Test Format
target_analyte              ,Target analyte              ,TRUE      ,Assay: Target Analyte(s)
validated_sample_types      ,Validated sample types      ,TRUE      ,Assay: Validated Sample Types
instrument_requirement      ,Instrument requirement      ,TRUE      ,Assay: Instrument requirement
level_of_automation         ,Level of automation         ,TRUE      ,Assay: Level of automation
laboratory_point_of_care    ,Laboratory/point-of-care    ,TRUE      ,Assay: Lab vs. POC
time_to_result              ,Time to result              ,FALSE     ,Assay: Time to results (mins)
connectivity                ,Connectivity,FALSE     ,Connectivity Solution
regulatory_status           ,Regulatory status           ,TRUE      ,Assay: Regulatory Approval
sensitivity        ,Sensitivity                 ,FALSE     ,Sensitivity (%)
specificity        ,Specificity                 ,FALSE     ,Specificity (%)
stage_of_development,Stage of development,TRUE      ,Assay: Stage of Development
technology_principle,Technology principle,TRUE      ,Assay: Technology principle
permalink                   ,Permanent link,FALSE     ,Assay: Company/Institution Name: Website
find_evaluation,FIND evaluation,TRUE      ,FIND Evaluation
performance_submission_title,Performance submission title,FALSE     ,Perf Submission Title
study_type,Study type,FALSE     ,Study Type
type_data_source,Type of data source,FALSE     ,Type of data source
sensitivity_ci_low,95% CI Sensitivity (Lower),FALSE     ,95% CI for Clinical Sensitivity (Lower)
sensitivity_ci_up,95% CI Sensitivity (Upper),FALSE     ,95% CI for Clinical Sensitivity (Upper)
specificity_ci_low,95% CI Specificity (Lower),FALSE     ,95% CI for Clinical Specificity (Lower)
specificity_ci_up,95% CI Specificity (Upper),FALSE     ,95% CI for Clinical Specificity (Upper)
target_patient_group,Target patient group,FALSE     ,Target Patient Group
sample_type,Sample type,FALSE     ,Sample Type
total_number_samples,Total number of samples,FALSE     ,Total number of samples
number_positive_samples,Number of positive samples,FALSE     ,Number of positive samples
number_negative_samples,Number of negative samples,FALSE     ,Number of negative samples
test_to_be_listed_on_finds_web_page,Test listed,FALSE     ,Assay: Test to be listed on FIND's web page?
data_to_be_published_on_finds_web_page,Data published,FALSE     ,Data to be published on FIND's web page
